Link,URL
College Basketball Teams,
NCAA Division I,
America East,
Albany,
Binghamton,
Hartford,
Maine,
UMass Lowell,
New Hampshire,
Stony Brook,
UMBC,
Vermont,
American,
Cincinnati,
Connecticut,
Houston,
Louisville,
Memphis,
Rutgers,
South Florida,
SMU,
Temple,
UCF,
Atlantic 10,
Dayton,
Duquesne,
Fordham,
George Mason,
G. Washington,
La Salle,
Massachusetts,
Rhode Island,
Richmond,
Saint Joseph's,
Saint Louis,
St. Bonaventure,
VCU,
ACC,
Boston College,
Clemson,
Duke,
Florida State,
Georgia Tech,
Maryland,
Miami (FL),
North Carolina,
NC State,
Notre Dame,
Pittsburgh,
Syracuse,
Virginia,
Virginia Tech,
Wake Forest,
Atlantic Sun,
East Tenn St,
Florida Gulf Coast,
Jacksonville,
Kennesaw State,
Lipscomb,
Mercer,
North Florida,
Northern Kentucky,
Stetson,
USC Upstate,
Big 12,
Baylor,
Iowa State,
Kansas,
Kansas State,
Oklahoma,
Oklahoma State,
TCU,
Texas,
Texas Tech,
West Virginia,
Big East,
Butler,
Creighton,
DePaul,
Georgetown,
Marquette,
Providence,
Seton Hall,
St. John's,
Villanova,
Xavier,
Big Sky,
E Washington,
Idaho State,
Montana,
Montana State,
North Dakota,
N Arizona,
N Colorado,
Portland State,
Sacramento St,
Southern Utah,
Weber State,
Big South,
Campbell,
Charl Southern,
Coast Carolina,
Gardner-Webb,
High Point,
Liberty,
Longwood,
Presbyterian,
Radford,
UNC Asheville,
VMI,
Winthrop,
Big Ten,
Illinois,
Indiana,
Iowa,
Michigan,
Michigan State,
Minnesota,
Nebraska,
Northwestern,
Ohio State,
Penn State,
Purdue,
Wisconsin,
Big West,
Cal Poly,
CS Fullerton,
CS Northridge,
Hawaii,
Long Beach St,
UC Davis,
UC Irvine,
UC Riverside,
UC Santa Barbara,
Colonial,
Charleston,
Delaware,
Drexel,
Hofstra,
James Madison,
UNC-Wilmington,
Northeastern,
Towson,
William & Mary,
Conference USA,
Charlotte,
East Carolina,
Florida Atl,
FIU,
Louisiana Tech,
Marshall,
Middle Tennessee,
North Texas,
Old Dominion,
Rice,
Southern Miss,
Tulane,
Tulsa,
UAB,
UTEP,
UTSA,
Independents,
N.J.I.T.,
Horizon,
Cleveland State,
Detroit,
Green Bay,
UIC,
Milwaukee,
Oakland,
Valparaiso,
Wright State,
Youngstown St,
Ivy,
Brown,
Columbia,
Cornell,
Dartmouth,
Harvard,
Pennsylvania,
Princeton,
Yale,
MAAC,
Canisius,
Fairfield,
Iona,
Manhattan,
Marist,
Monmouth,
Niagara,
Quinnipiac,
Rider,
Siena,
St. Peter's,
Mid-American,
Akron,
Ball State,
Bowling Green,
Buffalo,
Cent Michigan,
E Michigan,
Kent State,
Miami (OH),
N Illinois,
Ohio,
Toledo,
W Michigan,
MEAC,
Bethune-Cookman,
Coppin State,
Delaware State,
Florida A&M,
Hampton,
Howard,
MD-E Shore,
Morgan State,
Norfolk State,
N Carolina A&T,
N Carolina Cent,
Savannah State,
S Carolina St,
Missouri Valley,
Bradley,
Drake,
Evansville,
Illinois State,
Indiana State,
Loyola (IL),
Missouri State,
Northern Iowa,
S Illinois,
Wichita State,
Mountain West,
Air Force,
Boise State,
Colorado State,
Fresno State,
Nevada,
New Mexico,
San Diego State,
San Jose State,
UNLV,
Utah State,
Wyoming,
Northeast,
Bryant,
Cent Conn St,
Fair Dickinson,
LIU Brooklyn,
Mount St Mary's,
Robert Morris,
Sacred Heart,
St Francis (NY),
St Francis (PA),
Wagner,
Ohio Valley,
Austin Peay,
Belmont,
E Illinois,
E Kentucky,
Jacksonville St,
Morehead State,
Murray State,
